campus_id,timestamp,apparent_temperature,air_temperature,dew_point_temperature,relative_humidity,wind_speed,wind_direction
1,2025-01-01 00:00:00,-0.6,4.4,-1.9,68.3,4.1,264.8
1,2025-01-01 01:00:00,-4.5,5.9,0.2,71.3,12.2,351.9
1,2025-01-01 02:00:00,3.0,11.3,5.0,68.7,10.5,154.2
1,2025-01-01 03:00:00,5.0,14.8,8.1,66.6,13.6,181.8
1,2025-01-01 04:00:00,7.6,15.8,7.3,57.3,10.9,104.3
1,2025-01-01 05:00:00,9.8,17.0,7.2,51.1,9.2,105.5
1,2025-01-01 06:00:00,18.8,23.4,12.4,45.2,7.0,139.7
1,2025-01-01 07:00:00,21.3,22.0,10.1,40.7,0.3,309.1
1,2025-01-01 08:00:00,20.9,26.2,15.2,44.9,9.1,354.2
1,2025-01-01 09:00:00,15.3,25.6,13.2,38.0,14.8,69.0
1,2025-01-01 10:00:00,11.3,23.5,10.0,32.7,16.1,73.5
1,2025-01-01 11:00:00,20.3,24.6,13.8,46.0,7.1,138.9
1,2025-01-01 12:00:00,19.3,23.7,12.2,42.4,6.4,196.4
1,2025-01-01 13:00:00,15.1,22.8,12.9,50.3,11.9,123.7
1,2025-01-01 14:00:00,15.8,21.7,12.8,55.7,9.5,113.4
1,2025-01-01 15:00:00,6.0,17.2,7.8,53.2,15.2,11.2
1,2025-01-01 16:00:00,4.5,13.8,7.3,67.3,12.5,75.0
1,2025-01-01 17:00:00,-6.0,11.5,4.1,63.1,23.3,136.0
1,2025-01-01 18:00:00,7.3,10.3,5.0,73.3,2.9,331.6
1,2025-01-01 19:00:00,3.8,9.5,5.7,81.1,7.0,99.8
1,2025-01-01 20:00:00,-7.2,5.9,-1.0,65.6,15.8,73.5
1,2025-01-01 21:00:00,1.6,6.7,2.6,79.3,5.2,360.0
1,2025-01-01 22:00:00,-0.6,5.5,0.4,74.3,6.1,116.9
1,2025-01-01 23:00:00,-1.4,2.9,0.9,90.1,3.6,95.0
1,2025-01-02 00:00:00,-0.8,6.9,2.4,77.4,8.9,174.4
1,2025-01-02 01:00:00,3.7,9.5,5.6,80.6,7.1,168.8
1,2025-01-02 02:00:00,1.4,8.3,3.0,73.5,8.0,147.4
1,2025-01-02 03:00:00,8.0,14.7,8.7,69.8,9.3,260.2
1,2025-01-02 04:00:00,4.9,15.7,9.6,69.7,15.5,356.6
1,2025-01-02 05:00:00,8.9,14.3,5.2,54.7,6.2,310.2
1,2025-01-02 06:00:00,13.9,20.6,9.8,45.9,9.1,257.8
1,2025-01-02 07:00:00,11.6,19.3,10.5,55.9,11.2,114.9
1,2025-01-02 08:00:00,24.2,26.1,15.3,46.1,4.3,269.5
1,2025-01-02 09:00:00,15.6,20.7,8.9,40.8,6.2,46.7
1,2025-01-02 10:00:00,18.9,23.4,11.3,39.7,6.1,158.1
1,2025-01-02 11:00:00,17.2,22.1,9.8,38.6,6.1,102.9
1,2025-01-02 12:00:00,27.2,28.4,16.2,38.8,3.1,289.7
1,2025-01-02 13:00:00,11.0,18.0,6.7,43.5,8.5,244.8
1,2025-01-02 14:00:00,13.3,21.5,13.1,58.2,13.0,145.4
1,2025-01-02 15:00:00,10.8,19.0,9.5,52.7,11.5,262.3
1,2025-01-02 16:00:00,9.3,17.1,9.0,59.3,10.8,231.4
1,2025-01-02 17:00:00,6.1,13.1,7.7,73.1,9.4,28.9
1,2025-01-02 18:00:00,0.7,11.3,5.3,69.9,13.9,260.4
1,2025-01-02 19:00:00,-0.1,10.5,6.9,82.2,14.4,312.7
1,2025-01-02 20:00:00,-7.0,3.3,-1.0,78.4,11.8,3.9
1,2025-01-02 21:00:00,-2.2,6.5,1.2,73.6,10.0,300.6
1,2025-01-02 22:00:00,-5.9,3.7,-0.9,77.1,10.9,114.0
1,2025-01-02 23:00:00,-3.2,6.2,1.4,76.2,11.1,131.5
1,2025-01-03 00:00:00,-3.3,5.6,3.9,91.6,10.9,224.5
1,2025-01-03 01:00:00,-0.2,5.2,0.5,76.6,5.2,348.8
1,2025-01-03 02:00:00,5.7,9.1,2.4,66.3,2.7,278.2
1,2025-01-03 03:00:00,10.2,12.4,4.7,61.5,1.6,76.4
1,2025-01-03 04:00:00,1.1,14.0,5.5,57.7,17.0,18.4
1,2025-01-03 05:00:00,10.1,17.9,9.1,56.2,10.9,160.2
1,2025-01-03 06:00:00,13.2,18.5,9.8,56.6,7.5,254.8
1,2025-01-03 07:00:00,14.0,20.6,8.5,39.7,8.2,282.2
1,2025-01-03 08:00:00,21.4,24.8,13.8,44.9,5.7,112.3
1,2025-01-03 09:00:00,16.7,20.5,7.5,34.9,3.7,79.4
1,2025-01-03 10:00:00,20.1,25.4,13.2,38.8,7.8,143.6
1,2025-01-03 11:00:00,13.5,20.1,7.4,36.4,7.8,3.8
1,2025-01-03 12:00:00,13.7,23.4,13.1,48.4,14.7,69.3
1,2025-01-03 13:00:00,14.8,23.3,12.4,45.3,12.5,257.0
1,2025-01-03 14:00:00,11.6,16.7,5.6,44.4,5.5,51.8
1,2025-01-03 15:00:00,10.2,16.7,7.9,55.8,8.6,255.3
1,2025-01-03 16:00:00,5.2,13.7,4.9,56.2,10.6,37.1
1,2025-01-03 17:00:00,9.6,16.6,10.5,69.4,10.5,164.5
1,2025-01-03 18:00:00,-0.6,9.1,3.2,70.6,12.0,135.1
1,2025-01-03 19:00:00,4.4,10.5,6.2,78.6,7.7,28.9
1,2025-01-03 20:00:00,-3.0,5.4,1.0,77.9,9.6,59.4
1,2025-01-03 21:00:00,-9.0,3.8,0.2,81.9,15.6,251.6
1,2025-01-03 22:00:00,2.0,6.2,1.9,78.7,3.8,348.0
1,2025-01-03 23:00:00,-3.0,6.1,3.6,87.4,11.1,343.1
1,2025-01-04 00:00:00,-6.0,4.7,-0.9,72.0,12.5,316.1
1,2025-01-04 01:00:00,3.0,7.6,2.4,74.2,4.5,260.1
1,2025-01-04 02:00:00,1.1,12.1,8.2,80.7,15.3,30.3
1,2025-01-04 03:00:00,0.4,8.5,0.5,60.1,9.0,184.6
1,2025-01-04 04:00:00,2.1,14.7,8.1,66.9,17.5,68.0
1,2025-01-04 05:00:00,12.3,14.7,4.0,46.4,1.4,187.9
1,2025-01-04 06:00:00,13.9,19.7,8.8,45.4,7.5,318.7
1,2025-01-04 07:00:00,17.1,21.3,10.8,47.7,6.0,327.4
